"","id","time","activity1","builtin1","communication1","entertainment1","finance1","game1","office1","other1","social1","travel1","unknown1","utilities1","weather1","call1","arousal1","valence1","mood1","count1","screen1","sms1","activity2","builtin2","communication2","entertainment2","finance2","game2","office2","other2","social2","travel2","unknown2","utilities2","weather2","call2","arousal2","valence2","mood2","count2","screen2","sms2","activity3","builtin3","communication3","entertainment3","finance3","game3","office3","other3","social3","travel3","unknown3","utilities3","weather3","call3","arousal3","valence3","mood3","count3","screen3","sms3","activity4","builtin4","communication4","entertainment4","finance4","game4","office4","other4","social4","travel4","unknown4","utilities4","weather4","call4","arousal4","valence4","mood4","count4","screen4","sms4","activity5","builtin5","communication5","entertainment5","finance5","game5","office5","other5","social5","travel5","unknown5","utilities5","weather5","call5","arousal5","valence5","mood5","count5","screen5","sms5","target","weekday","month","monthday","slope","intersect","variance"
"1","AS14.01",2014-03-26,0.134050103989389,3139.218,6280.89,1007.456,49.544,0,172.206,239.751,4508.5,915.445,0,598.754,0,6,0.2,0.2,6.2,5,17978.9070000648,0,0.236880219239958,731.429,4962.918,93.324,21.076,0,0,98.143,439.632,37.305,0,117.621,0,3,0.6,0.5,6.4,5,6142.16099953651,1,0.142741115805064,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386,0,0.2,0.8,6.8,5,6773.83200144767,0,0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,5,15047.3510005474,0,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,4,21475.3549990654,1,6.6,3,3,26,0.0699999999999999,6.22,0.1195
"2","AS14.01",2014-03-27,0.236880219239958,731.429,4962.918,93.324,21.076,0,0,98.143,439.632,37.305,0,117.621,0,3,0.6,0.5,6.4,5,6142.16099953651,1,0.142741115805064,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386,0,0.2,0.8,6.8,5,6773.83200144767,0,0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,5,15047.3510005474,0,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,4,21475.3549990654,1,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,5,16423.8010003567,0,7,4,3,27,0.0349999999999998,6.405,0.1055
"3","AS14.01",2014-03-28,0.142741115805064,1286.246,5237.319,94.346,43.403,0,0,72.823,900.839,0,0,30.086,30.386,0,0.2,0.8,6.8,5,6773.83200144767,0,0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,5,15047.3510005474,0,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,4,21475.3549990654,1,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,5,16423.8010003567,0,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,5,17442.1499993801,1,6.4,5,3,28,0.0999999999999995,6.33,0.1445
"4","AS14.01",2014-03-29,0.078961056115598,866.956,9270.629,976.971,34.106,0,3.01,66.558,3223.626,419.805,0,178.732,0,10,0.8,0,6,5,15047.3510005474,0,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,4,21475.3549990654,1,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,5,16423.8010003567,0,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,5,17442.1499993801,1,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,5,4923.48899960518,0,8,6,3,29,0.105,6.235,0.1425
"5","AS14.01",2014-03-30,0.0983741123905068,1032.768,10276.751,68.206,43.054,0,0,178.819,1919.471,0,235.223,222.893,0,0,0.5,0.5,6.75,4,21475.3549990654,1,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,5,16423.8010003567,0,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,5,17442.1499993801,1,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,5,4923.48899960518,0,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,5,8322.6219997406,1,7.5,0,3,30,0.23,6.26,0.3925
"6","AS14.01",2014-03-31,0.101308321670076,1167.497,8988.753,910.479,52.331,0,0,97.498,4592.059,0,0,33.365,0,0,-0.2,0.6,6.6,5,16423.8010003567,0,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,5,17442.1499993801,1,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,5,4923.48899960518,0,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,5,8322.6219997406,1,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4,4523.21400094033,0,7.4,1,3,31,0.28,6.26,0.43
"7","AS14.01",2014-04-01,0.159510640969097,1229.327,6936.512,639.339,42.219,0,182.451,58.532,935.381,47.314,0,179.029,0,2,0.2,0.8,7,5,17442.1499993801,1,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,5,4923.48899960518,0,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,5,8322.6219997406,1,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4,4523.21400094033,0,0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,5,11836.834000349,0,6,2,4,1,0.19,6.69,0.358
"8","AS14.01",2014-04-02,0.0956980216371201,10062.595,866.833,1005.403,89.166,233.036,0,225.951,512.741,1133.009,0,301.717,0,5,-0.6,0.6,6.4,5,4923.48899960518,0,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,5,8322.6219997406,1,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4,4523.21400094033,0,0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,5,11836.834000349,0,0.118443242712736,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0,1,0.2,0,6,5,17173.9060020447,0,6.5,3,4,2,-0.139999999999999,7.48,0.688
"9","AS14.01",2014-04-03,0.0682028101018696,1952.63,2720.692,1627.429,0,0,0,169.594,472.888,52.435,0,600.637,0,4,0.2,1,8,5,8322.6219997406,1,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4,4523.21400094033,0,0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,5,11836.834000349,0,0.118443242712736,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0,1,0.2,0,6,5,17173.9060020447,0,0.101916610638223,3614.349,6920.156,1343.376,247.777,0,90.481,541.541,3428.792,0,0,341.371,0,4,0.333333333333333,0.666666666666667,6.5,4,21358.510999918,0,6.4,4,4,3,-0.449999999999999,8.42999999999999,0.657
"10","AS14.01",2014-04-04,0.049092970521542,414.365,1298.505,1535.677,0,0,0,74.003,167.685,0,66.477,38.296,0,0,-0.5,0.75,7.5,4,4523.21400094033,0,0.0705054808833896,2961.405,5332.637,1758.92,41.255,51.176,0,268.554,1350.655,183.381,29.29,210.305,0,6,0,0.6,7.4,5,11836.834000349,0,0.118443242712736,1385.517,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0,517.636,0,1,0.2,0,6,5,17173.9060020447,0,0.101916610638223,3614.349,6920.156,1343.376,247.777,0,90.481,541.541,3428.792,0,0,341.371,0,4,0.333333333333333,0.666666666666667,6.5,4,21358.510999918,0,0.0492384727084411,2321.464,14438.082,1293.631,76.234,0,0,213.902,3154.241,19.082,0,182.772,0,4,-1.2,0,6.4,5,21401.8350007534,0,6.2,5,4,4,-0.31,7.69,0.433
